Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFW,"Charges for the use of intellectual property, receipts (BoP, current US$)",,,,,,,,,,,,,,,41544.68668,46660.7469,41849.6728,40703.40588,44315.26835,94019.58164,94661.31241,22333572.98,10643797.17,7925614.74,8628503.1,912605.8323,1963581.888,865119.3649,1142769.841,1504663.047,1762989.638,1308601.164,14324879.62,1247594.97,1228744.246,1272432.995,366071.3784,595792.3646,71788.69747,3352321.671,2479276.259,350001.6461,887876.7282,634631.3811,1439619.47,801048.9503,491936.0532,1021741.589,2570892.273,2707809.798,3506795.801,3900282.9,5551862.702,6513644.746,10149433.3,8572491.635,9186263.369,6365730.124,112807609.9,85700848.06,55468399.28,21103979.45,29645.48401
AFW,"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,,,,,,,,,124634.06,139982.2407,125549.0184,122110.2177,221576.3417,3071440.954,58650568.42,85049182.94,30592773.92,14479603.2,3249268.771,2660288.728,4111132.783,1466785.378,2529399.873,1252353.304,919342.1738,1225449.505,3766087.243,4803075.62,1723322.208,1787869.352,4450062.873,8642808.094,7558945.356,11836951.41,12565896.59,8571818.725,7642540.627,56895380.22,15260467.69,105306761.3,115950984.5,219481160.7,247502232.9,262738120.5,266899774,251239858.9,283984358.7,278039100.4,289056236.2,276882578.3,273617352.8,278307224.6,332642747.6,509385574.5,445333606,528448319.1,254051734
AGO,High-technology exports (% of manufactured exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.60448602,12.98472616,19.38234452,25.21629292,26.97844419,,,
AGO,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102003480,101140545,90107053,67484791,77770743,,,
AGO,Technicians in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4243,,,,,5.20066,,,,,,
AGO,Researchers in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.48012161,,,,,18.81599045,,,,,,
AGO,"Patent applications, residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,
AGO,"Patent applications, nonresidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,114,108,,,
AGO,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95,7.33,4.11,3.93,6.08,9.58,16.13,5.89,9.73,10.04,12.07,10.16,11.85,13.78,13.18,16.78,20.63,23.85,32.02,31.32,37.06,43.47,28.88,33.81,45.41,,
AGO,Research and development expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03229,,,,,,
AGO,"Charges for the use of intellectual property, receipts (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14100000,18300000,7421000,16587000,5960000,9480000,2790000,15750000,4420000,,,226800000,49430571.11,1339588442,12021694.12,12000000,,,,16332320.86,18843635.45,21944072.22,17490960,10997630,11569560,8226880,516010,,,
AGO,"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290000,1170000,1660000,5630000,430000,,,2495000,3378446.38,1366548.48,1173129.46,470000,20000,6378100,3185000,224315044.6,212220137.3,252852819.1,264702200,212229720,221726875.7,246614994.8,127168951.5,129608227.3,121666360,222726990
ALB,High-technology exports (% of manufactured exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3281934,1.464517204,1.016872916,0.922637019,0.890238022,0.257234804,1.634190367,0.784313365,0.088456367,0.044701983,0.128427413,0.285854496,,
ALB,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10128935,14074208,11890517,10014580,10843586,1960836,16607486,10199913,1119013,591718,1753201,3810240,,
ALB,Technicians in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.96433,,,,,,,,,,,,,,
ALB,Researchers in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.527832,,,,,,,,,,,,,,
ALB,"Patent applications, residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,10,14,20,16,15,4,,23,
ALB,"Patent applications, nonresidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,120,238,391,,386,,,,361,,8,,4,3,5,5,8,3,1,,1,
ALB,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.82,26.52,31.89,23.84,22.34,18.38,24.53,22.82,17.91,25.77,26.47,41.65,52.48,68.39,124.82,141.38,155.25,150.4,156.68,167.07,170.85,135.3,168.55,191.03,167.16,,
ALB,Research and development expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087569997,0.154119998,,,,,,,,,,,,,,
ALB,"Charges for the use of intellectual property, receipts (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5321983.91,15410498.39,505314.458,723627.4161,7530000,40441133.41,17098527.16,739036.1847,13339406.11,1650606.396,1185804.075,740461.8145,1945283.406,2703932.264,10991466.05,14949446.68,17149047.06,15865804.92,19332528.32,13222816.66
ALB,"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8358857.12,4942627.61,4204267.362,6768509.008,11850000,12517993.93,14487498.76,12138446.11,12703928.18,23362460.05,22607333.78,21881927.42,24578013.75,23163082.28,13132426.91,26412466.5,34784215.26,38609323.64,34763724.47,31727566.82
AND,High-technology exports (% of manufactured exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.55547694,16.08798089,12.09677968,23.45580605,18.49017513,20.64765735,23.59478669,20.68648433,22.64484328,24.42935188,23.24850443,28.48521184,,,,
AND,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424896,17935435,10402350,19545650,18990187,19714197,21595662,18015811,17999515,21706224,24235416,33913478,,,,
AND,Technicians in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,Researchers in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
